Hourly measurement data supplied by UK-air on 27/02/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Tyburn",,"Harwell",,"London Marylebone Road",,"London N. Kensington",
Latitude,,52.511722,,51.571078,,51.522530,,51.521050,,
Longitude,,-1.830583,,-1.325283,,-0.154611,,-0.213492,,
Site Type,,Urban Background,,Rural Background,,Urban Traffic,,Urban Background,,
Zone,,West Midlands,,South East,,Greater London,,Greater London,,
Agglomeration,,West Midlands Urban Area,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Birmingham",,"White Horse",,"Westminster",,"Kensington",,
Date,Time,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status,"Total Number Concentration (CPC)",Status
2011-01-07,19:00:00,17242,V particles cm-3,1271,V particles cm-3,No data,V particles cm-3,10195,V particles cm-3
2011-01-07,20:00:00,12788,V particles cm-3,1243,V particles cm-3,No data,V particles cm-3,10572,V particles cm-3
2011-01-07,21:00:00,9091,V particles cm-3,972,V particles cm-3,No data,V particles cm-3,13045,V particles cm-3
2011-01-07,22:00:00,8359,V particles cm-3,1000,V particles cm-3,No data,V particles cm-3,10442,V particles cm-3
2011-01-07,23:00:00,7489,V particles cm-3,941,V particles cm-3,No data,V particles cm-3,8970,V particles cm-3
2011-01-07,24:00:00,7545,V particles cm-3,867,V particles cm-3,No data,V particles cm-3,8014,V particles cm-3
2011-01-08,01:00:00,7421,V particles cm-3,1300,V particles cm-3,No data,V particles cm-3,8144,V particles cm-3
2011-01-08,02:00:00,5711,V particles cm-3,1442,V particles cm-3,No data,V particles cm-3,7085,V particles cm-3
2011-01-08,03:00:00,3769,V particles cm-3,1092,V particles cm-3,No data,V particles cm-3,5094,V particles cm-3
2011-01-08,04:00:00,3253,V particles cm-3,1077,V particles cm-3,No data,V particles cm-3,4624,V particles cm-3
2011-01-08,05:00:00,3560,V particles cm-3,1059,V particles cm-3,No data,V particles cm-3,4100,V particles cm-3
2011-01-08,06:00:00,6059,V particles cm-3,939,V particles cm-3,No data,V particles cm-3,4289,V particles cm-3
2011-01-08,07:00:00,7430,V particles cm-3,435,V particles cm-3,No data,V particles cm-3,3460,V particles cm-3
2011-01-08,08:00:00,5459,V particles cm-3,333,V particles cm-3,No data,V particles cm-3,5477,V particles cm-3
2011-01-08,09:00:00,3966,V particles cm-3,680,V particles cm-3,No data,V particles cm-3,7538,V particles cm-3
2011-01-08,10:00:00,5462,V particles cm-3,875,V particles cm-3,No data,V particles cm-3,17362,V particles cm-3
2011-01-08,11:00:00,7377,V particles cm-3,705,V particles cm-3,55512,V particles cm-3,23356,V particles cm-3
2011-01-08,12:00:00,7344,V particles cm-3,504,V particles cm-3,54978,V particles cm-3,28124,V particles cm-3
2011-01-08,13:00:00,5980,V particles cm-3,797,V particles cm-3,43612,V particles cm-3,10830,V particles cm-3
2011-01-08,14:00:00,7323,V particles cm-3,691,V particles cm-3,32856,V particles cm-3,6467,V particles cm-3
2011-01-08,15:00:00,7124,V particles cm-3,837,V particles cm-3,28174,V particles cm-3,6403,V particles cm-3
2011-01-08,16:00:00,7622,V particles cm-3,1251,V particles cm-3,32217,V particles cm-3,7342,V particles cm-3
2011-01-08,17:00:00,8336,V particles cm-3,1478,V particles cm-3,39870,V particles cm-3,11015,V particles cm-3
2011-01-08,18:00:00,10985,V particles cm-3,1470,V particles cm-3,66788,V particles cm-3,22282,V particles cm-3
2011-01-08,19:00:00,16602,V particles cm-3,1335,V particles cm-3,58876,V particles cm-3,21773,V particles cm-3
2011-01-08,20:00:00,12015,V particles cm-3,1410,V particles cm-3,59414,V particles cm-3,19609,V particles cm-3
2011-01-08,21:00:00,10599,V particles cm-3,1175,V particles cm-3,53069,V particles cm-3,17637,V particles cm-3
2011-01-08,22:00:00,10000,V particles cm-3,990,V particles cm-3,47360,V particles cm-3,16615,V particles cm-3
2011-01-08,23:00:00,10509,V particles cm-3,819,V particles cm-3,45251,V particles cm-3,15094,V particles cm-3
2011-01-08,24:00:00,9427,V particles cm-3,1036,V particles cm-3,38235,V particles cm-3,11544,V particles cm-3
