"date","area","site","ufp"
2001-01-19,"london","nkens",NA
2001-01-20,"london","nkens",NA
2001-01-21,"london","nkens",NA
2001-01-22,"london","nkens",NA
2001-01-23,"london","nkens",NA
2001-01-24,"london","nkens",NA
2001-01-25,"london","nkens",NA
2001-01-26,"london","nkens",NA
2001-01-27,"london","nkens",NA
2001-01-28,"london","nkens",NA
2001-01-29,"london","nkens",NA
2001-01-30,"london","nkens",NA
2001-01-31,"london","nkens",NA
2001-02-01,"london","nkens",NA
2001-02-02,"london","nkens",NA
2001-02-03,"london","nkens",NA
2001-02-04,"london","nkens",NA
2001-02-05,"london","nkens",NA
2001-02-06,"london","nkens",NA
2001-02-07,"london","nkens",NA
2001-02-08,"london","nkens",NA
2001-02-09,"london","nkens",NA
2001-02-10,"london","nkens",NA
2001-02-11,"london","nkens",NA
2001-02-12,"london","nkens",NA
2001-02-13,"london","nkens",NA
2001-02-14,"london","nkens",NA
2001-02-15,"london","nkens",NA
2001-02-16,"london","nkens",NA
2001-02-17,"london","nkens",NA
2001-02-18,"london","nkens",NA
2001-02-19,"london","nkens",NA
2001-02-20,"london","nkens",NA
2001-02-21,"london","nkens",NA
2001-02-22,"london","nkens",NA
2001-02-23,"london","nkens",NA
2001-02-24,"london","nkens",NA
2001-02-25,"london","nkens",NA
2001-02-26,"london","nkens",NA
2001-02-27,"london","nkens",NA
2001-02-28,"london","nkens",NA
2001-03-01,"london","nkens",NA
2001-03-02,"london","nkens",NA
2001-03-03,"london","nkens",NA
2001-03-04,"london","nkens",NA
2001-03-05,"london","nkens",NA
2001-03-06,"london","nkens",NA
2001-03-07,"london","nkens",NA
2001-03-08,"london","nkens",NA
2001-03-09,"london","nkens",NA
2001-03-10,"london","nkens",NA
2001-03-11,"london","nkens",NA
2001-03-12,"london","nkens",NA
2001-03-13,"london","nkens",NA
2001-03-14,"london","nkens",NA
2001-03-15,"london","nkens",NA
2001-03-16,"london","nkens",NA
2001-03-17,"london","nkens",NA
2001-03-18,"london","nkens",NA
2001-03-19,"london","nkens",NA
2001-03-20,"london","nkens",NA
2001-03-21,"london","nkens",NA
2001-03-22,"london","nkens",NA
2001-03-23,"london","nkens",NA
2001-03-24,"london","nkens",NA
2001-03-25,"london","nkens",NA
2001-03-26,"london","nkens",NA
2001-03-27,"london","nkens",NA
2001-03-28,"london","nkens",NA
2001-03-29,"london","nkens",NA
2001-03-30,"london","nkens",NA
2001-03-31,"london","nkens",NA
2001-04-01,"london","nkens",NA
2001-04-02,"london","nkens",NA
2001-04-03,"london","nkens",NA
2001-04-04,"london","nkens",NA
2001-04-05,"london","nkens",NA
2001-04-06,"london","nkens",NA
2001-04-07,"london","nkens",NA
2001-04-08,"london","nkens",NA
2001-04-09,"london","nkens",NA
2001-04-10,"london","nkens",NA
2001-04-11,"london","nkens",NA
2001-04-12,"london","nkens",18487.8991458333
2001-04-13,"london","nkens",18895.8602083333
2001-04-14,"london","nkens",20883.5990625
2001-04-15,"london","nkens",13823.3936875
2001-04-16,"london","nkens",16368.0585520833
2001-04-17,"london","nkens",23896.0866666667
2001-04-18,"london","nkens",23287.8818958333
2001-04-19,"london","nkens",20610.4119479167
2001-04-20,"london","nkens",21026.91775
2001-04-21,"london","nkens",17117.881625
