date,area,site,ufp,nonext,tmean,no2,pm10,pm25,dow,holiday
2003-08-25,london,kensington,,154,17.9309139251709,18.6539497375488,16.8632755279541,7.41112804412842,1,1
2003-08-26,london,kensington,,174,18.8557434082031,33.9784545898438,26.2507801055908,10.456919670105,2,0
2003-08-27,london,kensington,14586.7683958333,173,19.0375900268555,33.0760879516602,27.4605236053467,10.9240188598633,3,0
2003-08-28,london,kensington,17518.8162083333,148,16.2470569610596,35.4433212280273,23.5492210388184,9.65284633636475,4,0
2003-08-29,london,kensington,15653.51584375,148,15.3851022720337,29.0102691650391,19.717981338501,8.37587738037109,5,0
2003-08-30,london,kensington,14181.2282916667,169,14.0019683837891,31.9115791320801,20.2896633148193,9.21057605743408,6,0
2003-08-31,london,kensington,14631.6020729167,170,13.7278461456299,34.0517845153809,20.7104759216309,9.8659782409668,7,0
2003-09-01,london,kensington,17041.8449270833,167,15.06516456604,34.4745483398438,22.5084686279297,9.88450908660889,1,0
2003-09-02,london,kensington,19557.9329895833,179,14.7474699020386,51.5594329833984,32.2662773132324,14.7944078445435,2,0
2003-09-03,london,kensington,21574.845625,183,16.9184951782227,55.578254699707,39.5957069396973,19.1995410919189,3,0
2003-09-04,london,kensington,24304.0651041667,184,16.4860401153564,54.4602317810059,42.3468551635742,20.1615447998047,4,0
2003-09-05,london,kensington,19615.2986458333,177,18.4770679473877,56.1279602050781,42.127498626709,20.0984420776367,5,0
2003-09-06,london,kensington,11743.1855833333,163,17.6009464263916,36.224723815918,28.9205169677734,15.0143756866455,6,0
2003-09-07,london,kensington,12548.2671041667,153,13.6255702972412,36.0808143615723,17.9887504577637,9.49971485137939,7,0
